Family,Genus species,Source
Chiroptera,Musonycteris harrisoni,Bait-capture
Chiroptera,Cormura brevirostris,Bait-capture
Chiroptera,Tomopeas ravus,Bait-capture
Chiroptera,Bauerus dubiaquercus,Bait-capture
Chiroptera,Rhogeessa tumida,Bait-capture
Chiroptera,Platalina genovensium,Bait-capture
Chiroptera,Micronycteris hirsuta,Bait-capture
Chiroptera,Lophostoma evotis,Bait-capture
Chiroptera,Stenoderma rufum,Bait-capture
Chiroptera,Lonchophylla hesperia,Bait-capture
Chiroptera,Pteronotus davyi,Bait-capture
Chiroptera,Myotis albescens,Bait-capture
Chiroptera,Eptesicus fuscus,Bait-capture
Chiroptera,Lampronycteris brachyotis,Bait-capture
Chiroptera,Macroglossus minimus,Bait-capture
Chiroptera,Leptonycteris curasoae,Bait-capture
Chiroptera,Chrotopterus auritus,Bait-capture
Chiroptera,Noctilio albiventris,Bait-capture
Chiroptera,Lonchorhina inusitata,Bait-capture
Chiroptera,Platyrrhinus lineatus,Bait-capture
Chiroptera,Platyrrhinus helleri,Bait-capture
Chiroptera,Artibeus jamaicensis,Bait-capture
Chiroptera,Macrophyllum macrophyllum,Bait-capture
Chiroptera,Enchisthenes hartii,Bait-capture
Chiroptera,Lionycteris spurrelli,Bait-capture
Chiroptera,Chiroderma villosum,Bait-capture
Chiroptera,Mesophylla macconnelli,Bait-capture
Chiroptera,Phyllostomus hastatus,Bait-capture
Chiroptera,Vampyrodes caraccioli,Bait-capture
Chiroptera,Rousettus amplexicaudatus,Bait-capture
Chiroptera,Ptenochirus jagori,Bait-capture
Chiroptera,Cynopterus brachyotis,Bait-capture
Chiroptera,Mormoops blainvillei,Bait-capture
Chiroptera,Brachyphylla pumila,Bait-capture
Chiroptera,Artibeus fraterculus,Bait-capture
Chiroptera,Anoura geoffroyi,Bait-capture
Chiroptera,Desmodus rotundus,Bait-capture
Chiroptera,Sturnira ludovici,Bait-capture
Chiroptera,Carollia brevicauda,Bait-capture
Chiroptera,Rhinophylla pumilio,Bait-capture
Chiroptera,Noctilio leporinus,Bait-capture
Chiroptera,Mormoops megalophylla,Bait-capture
Chiroptera,Micronycteris microtis,Bait-capture
Chiroptera,Sphaeronycteris toxophyllum,Bait-capture
Chiroptera,Desmodus rotundus,Bait-capture
Chiroptera,Phyllops falcatus,Bait-capture
Chiroptera,Phyllostomus elongatus,Bait-capture
Chiroptera,Lonchophylla handleyi,Bait-capture
Chiroptera,Ardops nichollsi,Bait-capture
Chiroptera,Uroderma bilobatum,Bait-capture
Chiroptera,Pteronotus parnellii,Bait-capture
Chiroptera,Lophostoma silvicolum,Bait-capture
Chiroptera,Phyllonycteris poeyi,Bait-capture
Chiroptera,Peropteryx kappleri,Bait-capture
Chiroptera,Carollia sowelli,Bait-capture
Chiroptera,Macrotus waterhousii,Bait-capture
Chiroptera,Carollia castanea,Bait-capture
Chiroptera,Erophylla bombifrons,Bait-capture
Chiroptera,Tonatia saurophila,Bait-capture
Chiroptera,Molossus molossus,Bait-capture
Chiroptera,Centurio senex,Bait-capture
Chiroptera,Phylloderma stenops,Bait-capture
Chiroptera,Glyphonycteris daviesi,Bait-capture
Chiroptera,Glossophaga commissarisi,Bait-capture
Chiroptera,Artibeus bogotensis,Bait-capture
Chiroptera,Ectophylla alba,Bait-capture
Chiroptera,Platyrrhinus helleri,Bait-capture
Chiroptera,Lichonycteris obscura,Bait-capture
Chiroptera,Hylonycteris underwoodi,Bait-capture
Chiroptera,Carollia perspicillata,Bait-capture
Chiroptera,Chilonatalus micropus,Bait-capture
Chiroptera,Monophyllus redmani,Bait-capture
Chiroptera,Artibeus phaeotis,Bait-capture
Chiroptera,Gardnerycteris crenulatum,Bait-capture
Chiroptera,Pteronotus quadridens,Bait-capture
Chiroptera,Rhynchonycteris naso,Bait-capture
Chiroptera,Rhinophylla fischerae,Bait-capture
Chiroptera,Artibeus lituratus,Bait-capture
Chiroptera,Saccopteryx bilineata,Bait-capture
Chiroptera,Uroderma bilobatum,Bait-capture
Chiroptera,Sturnira tildae,Bait-capture
Chiroptera,Glossophaga soricina,Bait-capture
Chiroptera,Pygoderma bilabiatum,Bait-capture
Chiroptera,Thyroptera lavali,Bait-capture
Chiroptera,Pteropus hypomelanus,Bait-capture
Chiroptera,Pteropus temminckii,Bait-capture
Chiroptera,Diphylla ecaudata,Bait-capture
Chiroptera,Sturnira lilium,Bait-capture
Chiroptera,Brachyphylla cavernarum,Bait-capture
Chiroptera,Choeroniscus godmani,Bait-capture
Chiroptera,Saccopteryx leptura,Bait-capture
Chiroptera,Mimon cozumelae,Bait-capture
Chiroptera,Trachops cirrhosus,Bait-capture
Chiroptera,Choeronycteris mexicana,Bait-capture
Chiroptera,Vampyrum spectrum,Bait-capture
Chiroptera,Hsunycteris thomasi,Bait-capture
Chiroptera, ,NCBI
Chiroptera,Pteropus giganteus,NCBI
Chiroptera,Pteropus alecto,NCBI
Chiroptera,Rousettus aegyptiacus,NCBI
Chiroptera,Rhinolophus ferrumequinum,NCBI
Chiroptera,Sturnira hondurensis,NCBI
Chiroptera,Artibeus jamaicensis,NCBI
Chiroptera,Desmodus rotundus,NCBI
Chiroptera,Phyllostomus discolor,NCBI
Chiroptera,Miniopterus natalensis,NCBI
Chiroptera,Hipposideros armiger,NCBI
Chiroptera,Pipistrellus kuhlii,NCBI
,Eptesicus fuscus,
,Myotis brandtii,
,Myotis davidii,
,Myotis myotis,
,Myotis lucifugus,
,Molossus molossus,
