Label,Genus_species,Genus,species,Family,Clade,Echo_binary,Echo_type,DSC,Foraging,Arthropods,Blood,Vertibrates,Fishes,Leaves,Nectar & pollen,Fruits
LS_042,Cormura_brevirostris,Cormura,brevirostris,Emballonuridae,Emballonuroidea,Echo,,,,,,,,,,
NBS_1062,Peropteryx_kappleri,Peropteryx,kappleri,Emballonuridae,Emballonuroidea,Echo,,,,,,,,,,
NBS_1072,Rhynchonycteris_naso,Rhynchonycteris,naso,Emballonuridae,Emballonuroidea,Echo,,,,,,,,,,
PE_143,Saccopteryx_bilineata,Saccopteryx,bilineata,Emballonuridae,Emballonuroidea,Echo,short broadband,,aerial,yes,,,,,,
PE_157,Saccopteryx_leptura,Saccopteryx,leptura,Emballonuridae,Emballonuroidea,Echo,,,,,,,,,,
TK19556,Musonycteris_harrisoni,Musonycteris,harrisoni,Phyllostomidae,Noctilionoidea,Echo,,,,,,,,,,
PMV2473,Platalina_genovensium,Platalina,genovensium,Phyllostomidae,Noctilionoidea,Echo,,,,,,,,,,
LS_010,Micronycteris_hirsuta,Micronycteris,hirsuta,Phyllostomidae,Noctilionoidea,Echo,,,,,,,,,,
NBS_1059,Lophostoma_evotis,Lophostoma,evotis,Phyllostomidae,Noctilionoidea,Echo,,,,,,,,,,
wing_punch,Stenoderma_rufum,Stenoderma,rufum,Phyllostomidae,Noctilionoidea,Echo,,,,,,,,,,
128720,Lonchophylla_hesperia,Lonchophylla,hesperia,Phyllostomidae,Noctilionoidea,Echo,,,,,,,,,,
NBS_1055,Pteronotus_davyi,Pteronotus,davyi,Mormoopidae,Noctilionoidea,Echo,,,,,,,,,,
NBS_1074,Lampronycteris_brachyotis,Lampronycteris,brachyotis,Phyllostomidae,Noctilionoidea,Echo,,,,,,,,,,
TK20658,Leptonycteris_curasoae,Leptonycteris,curasoae,Phyllostomidae,Noctilionoidea,Echo,,,,,,,,,,
NBS_1061,Chrotopterus_auritus,Chrotopterus,auritus,Phyllostomidae,Noctilionoidea,Echo,,,,,,,,,,
109543,Noctilio_albiventris,Noctilio,albiventris,Noctilionidae,Noctilionoidea,Echo,,,,,,,,,,
560774,Lonchorhina_inusitata,Lonchorhina,inusitata,Phyllostomidae,Noctilionoidea,Echo,,,,,,,,,,
185892,Platyrrhinus_lineatus,Platyrrhinus,lineatus,Phyllostomidae,Noctilionoidea,Echo,,,,,,,,,,
